Sector,Stock,Date,CNN,LSTM,Hybrid,Transformer
Pharma,CIPLA,11-11-2025,1530.0899658203125,1551.1500244140625,1526.0,1168.1400146484375
Pharma,CIPLA,12-11-2025,1512.6300048828125,1538.4100341796875,1509.6300048828125,1168.4599609375
Pharma,CIPLA,13-11-2025,1529.8399658203125,1534.1800537109375,1522.25,1168.9000244140625
Pharma,DIVISLAB,07-11-2025,6537.9501953125,6516.83984375,6613.990234375,3812.9599609375
Pharma,DIVISLAB,10-11-2025,6593.2900390625,6449.68994140625,6566.58984375,3816.68994140625
Pharma,DIVISLAB,11-11-2025,6602.47998046875,6405.509765625,6613.72998046875,3820.389892578125
Pharma,DIVISLAB,12-11-2025,6678.0498046875,6390.759765625,6556.14990234375,3823.820068359375
Pharma,DIVISLAB,13-11-2025,6746.759765625,6522.93017578125,6622.9599609375,3827.85009765625
Pharma,DRREDDY,07-11-2025,1205.4000244140625,1228.4599609375,1205.0699462890625,1059.5799560546875
Pharma,DRREDDY,10-11-2025,1223.8900146484375,1226.1099853515625,1204.6300048828125,1059.8800048828125
Pharma,DRREDDY,11-11-2025,1212.699951171875,1219.8599853515625,1212.969970703125,1060.1400146484375
Pharma,DRREDDY,12-11-2025,1208.0999755859375,1232.3199462890625,1210.1700439453125,1060.4000244140625
Pharma,DRREDDY,13-11-2025,1212.4599609375,1225.8499755859375,1207.780029296875,1060.75
Pharma,LUPIN,07-11-2025,1944.8299560546875,1937.72998046875,1967.219970703125,1249.219970703125
Pharma,LUPIN,10-11-2025,1953.93994140625,1958.93994140625,1936.6500244140625,1250.6600341796875
Pharma,LUPIN,11-11-2025,1960.8499755859375,1939.489990234375,1954.52001953125,1252.3299560546875
Pharma,LUPIN,12-11-2025,1922.760009765625,1949.219970703125,1975.5799560546875,1253.969970703125
Pharma,LUPIN,13-11-2025,1964.739990234375,1964.0,1948.5699462890625,1255.550048828125
Pharma,SUNPHARMA,07-11-2025,1694.219970703125,1692.239990234375,1702.4599609375,1266.6800537109375
Pharma,SUNPHARMA,10-11-2025,1699.6500244140625,1701.7099609375,1705.0400390625,1267.6500244140625
Pharma,SUNPHARMA,11-11-2025,1715.56005859375,1715.4100341796875,1706.4100341796875,1268.5
Pharma,SUNPHARMA,12-11-2025,1705.31005859375,1706.47998046875,1698.0799560546875,1269.3599853515625
Pharma,SUNPHARMA,13-11-2025,1698.550048828125,1722.68994140625,1713.719970703125,1270.3399658203125
PrivateBank,AXISBANK,07-11-2025,1217.68994140625,1205.56005859375,1211.5899658203125,1010.0
PrivateBank,AXISBANK,10-11-2025,1210.3800048828125,1213.56005859375,1217.1199951171875,1010.1400146484375
PrivateBank,AXISBANK,11-11-2025,1210.5799560546875,1209.81005859375,1208.6199951171875,1010.3099975585938
